"Layer","Day","Name","Location","Notes","Priority"
"Athens / Logistics","18.8 / 30.8","Athens International Airport","Athens International Airport, Spata, Greece","הלוך W4 7511: נחיתה 18.8 15:20; חזור W4 7512: המראה 30.8 09:55","Must"
"Athens / Logistics","18.8","Chalkidiki Cars Athens Airport","Athens International Airport, Spata, Greece","איסוף רכב 17:00; Free Shuttle Bus; החזרה 28.8 17:00","Must"
"Athens / Logistics","18-19.8","Athens Airport Living Spaces","Athens Airport Living Spaces, Spata, Greece","לילה ראשון ליד שדה התעופה; אישור HZRZSOZW80DA","Must"
"Athens / Logistics","18.8","Rafina","Rafina, Attica, Greece","ארוחת ערב קלה ליד הים אם יש כוח אחרי טיסה","Optional"
"Athens / Logistics","18.8","Artemida","Artemida, Attica, Greece","חלופה רגועה קרובה לשדה התעופה","Optional"
"Athens / Logistics","19.8","Aquapolis Athens","Aquapolis Athens, Spata, Greece","פארק מים ליד האאוטלט; כמה שעות עם הילדים לפני נסיעה לפיליון","Must"
"Athens / Logistics","18.8 / 19.8","McArthurGlen Designer Outlet Athens","McArthurGlen Designer Outlet Athens, Spata, Greece","אופציה טובה כבר בערב הראשון אחרי המלון; אם לא, ורד יכולה להמשיך קניות בזמן פארק המים","Must"
"Road Stops","19.8 / 28.8","Thermopylae Leonidas Monument","Leonidas Monument, Thermopylae, Greece","עצירת היסטוריה קצרה בדרך לפיליון או בחזור","Must"
"Road Stops","19.8 / 28.8","Thermopylae Historical Information Center","Thermopylae Historical Information Center, Lamia, Greece","אם רוצים עצירה קצת יותר מסודרת לילדים","Optional"
"Road Stops","19.8 / 28.8","Kamena Vourla","Kamena Vourla, Greece","טיילת, ים והפסקה אנושית באמצע הדרך","Good"
"Road Stops","19.8","Volos","Volos, Greece","צהריים, גלידה, דלק וקניות לפני העלייה לפיליון","Must"
"Road Stops","19.8","Jumbo Volos","Jumbo Volos, Greece","ציוד חוף, מחצלת, שמשייה ומשחקים לנסיעות","Good"
"Road Stops","19.8","Lidl Volos","Lidl Volos, Greece","קניות בסיסיות לפני פיליון","Good"
"East Pelion Base","19-24.8","OM Living Pelion","OM Living Pelion, Agios Dimitrios, Pelion, Greece","בסיס הלינה במזרח פיליון","Must"
"East Pelion Beaches","20.8","Agios Ioannis Beach","Agios Ioannis Beach, Pelion, Greece","חוף קרוב ליום התאקלמות","Good"
"East Pelion Beaches","20.8","Papa Nero Beach","Papa Nero Beach, Pelion, Greece","חוף קרוב ונוח יחסית ליום ראשון במזרח","Good"
"East Pelion Villages","20.8","Mouresi","Mouresi, Pelion, Greece","כפר קרוב לערב רגוע","Optional"
"East Pelion Villages","20.8","Kissos","Kissos, Pelion, Greece","כפר ירוק, מתאים לעצירה קצרה","Optional"
"East Pelion Nature","20-21.8","Kissos Waterfalls","Kissos Waterfalls, Pelion, Greece","לעצור רק אם עוברים קרוב; לא לנסוע במיוחד","Optional"
"East Pelion Villages","21.8","Tsagarada Plane Tree","Plane Tree of Tsagarada, Tsagarada, Pelion, Greece","עץ הדולב הענק וכיכר לקפה קצר","Must"
